Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DTCM QA Automation,Chrome 72.0.3626.121,,2019-03-18 15:55:21,2019-03-18 15:58:59,3m - 38.294s,ERROR
,,,,,,
Test Cases/DTCM/Login and logout/DTCM Invalid Login Scenario,Chrome 72.0.3626.121,,2019-03-18 15:55:21,2019-03-18 15:55:58,37.201s,PASSED
"openBrowser(""https://www.google.com/"")",Chrome 72.0.3626.121,,2019-03-18 15:55:21,2019-03-18 15:55:31,10.001s,PASSED
driver = getWebDriver(),Chrome 72.0.3626.121,,2019-03-18 15:55:31,2019-03-18 15:55:31,0.007s,PASSED
"baseUrl = ""https://www.google.com/""",Chrome 72.0.3626.121,,2019-03-18 15:55:31,2019-03-18 15:55:31,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 72.0.3626.121,,2019-03-18 15:55:31,2019-03-18 15:55:31,0.070s,PASSED
window().maximize(),Chrome 72.0.3626.121,,2019-03-18 15:55:31,2019-03-18 15:55:33,1.152s,PASSED
"CurrentURL = ""https://qacd2.testvisitdubai.com/en/account/login?v=78798789""",Chrome 72.0.3626.121,,2019-03-18 15:55:33,2019-03-18 15:55:33,0.001s,PASSED
"username = ""muhammad.saad@ovrlod.com""",Chrome 72.0.3626.121,,2019-03-18 15:55:33,2019-03-18 15:55:33,0.001s,PASSED
"password = ""Qwerty##1244""",Chrome 72.0.3626.121,,2019-03-18 15:55:33,2019-03-18 15:55:33,0.000s,PASSED
selenium.open(CurrentURL),Chrome 72.0.3626.121,,2019-03-18 15:55:33,2019-03-18 15:55:49,16.233s,PASSED
"selenium.click(""id=tbUsername"")",Chrome 72.0.3626.121,,2019-03-18 15:55:49,2019-03-18 15:55:49,0.068s,PASSED
Thread.sleep(1500),Chrome 72.0.3626.121,,2019-03-18 15:55:49,2019-03-18 15:55:50,1.503s,PASSED
"selenium.type(""id=tbUsername"", username)",Chrome 72.0.3626.121,,2019-03-18 15:55:50,2019-03-18 15:55:51,0.060s,PASSED
"selenium.type(""id=tbPassword"", password)",Chrome 72.0.3626.121,,2019-03-18 15:55:51,2019-03-18 15:55:51,0.099s,PASSED
Thread.sleep(1500),Chrome 72.0.3626.121,,2019-03-18 15:55:51,2019-03-18 15:55:52,1.501s,PASSED
"selenium.click(""id=plhcontent_0_lbtnSubmit"")",Chrome 72.0.3626.121,,2019-03-18 15:55:52,2019-03-18 15:55:58,5.739s,PASSED
Thread.sleep(500),Chrome 72.0.3626.121,,2019-03-18 15:55:58,2019-03-18 15:55:58,0.501s,PASSED
locationNow = location,Chrome 72.0.3626.121,,2019-03-18 15:55:58,2019-03-18 15:55:58,0.008s,PASSED
if (CurrentURL == locationNow),Chrome 72.0.3626.121,,2019-03-18 15:55:58,2019-03-18 15:55:58,0.005s,PASSED
,,,,,,
Test Cases/DTCM/Forget Password/Forget Login Info,Chrome 72.0.3626.121,,2019-03-18 15:55:58,2019-03-18 15:57:17,1m - 18.407s,PASSED
"openBrowser(""https://www.google.com/"")",Chrome 72.0.3626.121,,2019-03-18 15:55:59,2019-03-18 15:56:08,9.147s,PASSED
driver = getWebDriver(),Chrome 72.0.3626.121,,2019-03-18 15:56:08,2019-03-18 15:56:08,0.000s,PASSED
base = driver.getWindowHandle(),Chrome 72.0.3626.121,,2019-03-18 15:56:08,2019-03-18 15:56:08,0.005s,PASSED
"StartPoint = ""https://www.google.com/""",Chrome 72.0.3626.121,,2019-03-18 15:56:08,2019-03-18 15:56:08,0.001s,PASSED
"email = ""muhammad.saad@ovrlod.com""",Chrome 72.0.3626.121,,2019-03-18 15:56:08,2019-03-18 15:56:08,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, StartPoint)",Chrome 72.0.3626.121,,2019-03-18 15:56:08,2019-03-18 15:56:08,0.013s,PASSED
"selenium.open(""https://qacd2.testvisitdubai.com/en/account/login?v=78798789"")",Chrome 72.0.3626.121,,2019-03-18 15:56:08,2019-03-18 15:56:20,11.814s,PASSED
Thread.sleep(5000),Chrome 72.0.3626.121,,2019-03-18 15:56:20,2019-03-18 15:56:25,5.001s,PASSED
"selenium.click(""link=exact:Forgot login info?"")",Chrome 72.0.3626.121,,2019-03-18 15:56:25,2019-03-18 15:56:29,4.615s,PASSED
"selenium.click(""id=txtResetPasswordEmail"")",Chrome 72.0.3626.121,,2019-03-18 15:56:29,2019-03-18 15:56:30,1.121s,PASSED
"selenium.type(""id=txtResetPasswordEmail"", email)",Chrome 72.0.3626.121,,2019-03-18 15:56:30,2019-03-18 15:56:30,0.056s,PASSED
"selenium.click(""id=resetpassworddiv"")",Chrome 72.0.3626.121,,2019-03-18 15:56:30,2019-03-18 15:56:31,0.912s,PASSED
"selenium.click(""id=plhcontent_0_btnSendAccountReset"")",Chrome 72.0.3626.121,,2019-03-18 15:56:31,2019-03-18 15:56:32,0.845s,PASSED
Thread.sleep(20000),Chrome 72.0.3626.121,,2019-03-18 15:56:32,2019-03-18 15:56:52,20.001s,PASSED
js = driver,Chrome 72.0.3626.121,,2019-03-18 15:56:52,2019-03-18 15:56:52,0.003s,PASSED
Thread.sleep(500),Chrome 72.0.3626.121,,2019-03-18 15:56:52,2019-03-18 15:56:53,0.501s,PASSED
"CreateAccountUrl = ""https://qacd2.testvisitdubai.com/en/account/create-account?UT="" + email",Chrome 72.0.3626.121,,2019-03-18 15:56:53,2019-03-18 15:56:53,0.001s,PASSED
"command = ""window.open('"" + CreateAccountUrl + ""');""",Chrome 72.0.3626.121,,2019-03-18 15:56:53,2019-03-18 15:56:53,0.000s,PASSED
out.println(command),Chrome 72.0.3626.121,,2019-03-18 15:56:53,2019-03-18 15:56:53,0.001s,PASSED
js.executeScript(command),Chrome 72.0.3626.121,,2019-03-18 15:56:53,2019-03-18 15:56:53,0.019s,PASSED
Thread.sleep(3000),Chrome 72.0.3626.121,,2019-03-18 15:56:53,2019-03-18 15:56:56,3.001s,PASSED
tabs = new java.util.ArrayList(driver.getWindowHandles()),Chrome 72.0.3626.121,,2019-03-18 15:56:56,2019-03-18 15:56:56,0.007s,PASSED
out.println(tabs.size()),Chrome 72.0.3626.121,,2019-03-18 15:56:56,2019-03-18 15:56:56,0.001s,PASSED
switchTo().window(tabs.get(1)),Chrome 72.0.3626.121,,2019-03-18 15:56:56,2019-03-18 15:56:56,0.008s,PASSED
Thread.sleep(5000),Chrome 72.0.3626.121,,2019-03-18 15:56:56,2019-03-18 15:57:01,5.002s,PASSED
"ParentElement = driver.findElement(By.id(""divHomeWrap""))",Chrome 72.0.3626.121,,2019-03-18 15:57:01,2019-03-18 15:57:02,1.073s,PASSED
htmlstring = ParentElement.getText(),Chrome 72.0.3626.121,,2019-03-18 15:57:02,2019-03-18 15:57:02,0.226s,PASSED
